id;wb_1;wb_2;wb_3;wb_4;wb_5;wb_6;wb_7;wb_8;wb_9;wb_10;wb_11;wb_12;wb_13;wb_14;stress_1;stress_2;stress_3;stress_4;stress_5;stress_6;stress_7;soc_1;soc_2;soc_3;soc_4;soc_5;soc_6;soc_7;soc_8;soc_9;soc_10;soc_11;soc_12;soc_13;sonc_1;sonc_2;sonc_3;sonc_4;sonc_5;sonc_6;sonc_7;sonc_8;trust_media;trust_court;trust_police;trust_pm;trust_gov;trust_econ;trust_health;trust_hospital;trust_edu;trust_localgov;trust_relig;support_family;support_community;support_virtual;support_gov;support_work;support_relig;support_friends;gender;age;age_1;soc;sonc;wb;trust;support;mh;edu - dummy;edu;stress
92;5;5;4;4;4;2;2;2;3;3;3;3;5;4;2;2;3;3;2;2;1;6;4;6;6;6;3;4;5;2;4;4;4;2;3;4;4;3;4;3;3;4;;;3;2;2;2;2;5;2;4;;2;1;4;1;2;2;3;2;1980;41;4.307692308;3.5;3.5;2.75;2.142857143;3.076923077;4;secondary;15
93;5;6;6;5;5;4;5;4;5;5;5;5;5;6;1;1;1;0;1;0;0;7;5;5;6;7;7;6;7;5;6;5;6;5;4;4;4;4;5;2;4;4;2;3;4;1;1;2;1;4;1;3;1;4;3;3;3;3;1;2;1;1988;33;5.923076923;3.875;5.071428571;2.090909091;2.714285714;1.384615385;4;secondary;4
94;3;3;3;4;3;4;4;2;5;5;5;5;5;4;1;0;1;2;1;1;0;7;3;4;6;3;7;2;7;5;5;4;7;4;3;5;3;3;3;5;2;4;2;2;2;1;1;1;2;3;4;4;;4;2;1;1;4;;3;2;1983;38;4.923076923;3.5;3.928571429;2.2;2.5;1.615384615;6;tertiary;6
95;5;6;6;4;6;6;6;6;6;6;6;6;6;6;0;0;1;2;0;0;0;6;6;7;6;7;6;6;7;7;6;5;7;6;4;3;3;5;2;2;4;6;3;4;3;1;2;1;2;4;2;4;3;5;3;2;2;5;1;5;1;1989;32;6.307692308;3.625;5.785714286;2.636363636;3.285714286;1.230769231;6;tertiary;3
96;5;5;5;2;2;1;4;2;5;5;4;5;5;5;0;0;1;0;0;0;0;6;5;5;4;7;4;4;4;6;5;6;5;6;3;1;4;3;2;3;3;5;3;1;3;3;3;3;4;5;3;4;5;5;3;3;2;3;;4;2;1965;56;5.153846154;3;3.928571429;3.363636364;3.333333333;1.153846154;6;tertiary;1
97;3;6;5;5;5;2;4;4;4;6;5;4;5;5;1;1;3;0;0;1;1;5;4;4;5;6;6;5;3;3;6;4;5;6;2;2;3;3;4;6;4;5;2;3;3;2;2;2;2;5;2;3;1;5;3;3;2;3;1;4;2;1986;35;4.769230769;3.625;4.5;2.454545455;3;1.923076923;6;tertiary;7
98;4;6;4;5;5;4;3;5;4;3;5;6;5;4;1;1;1;1;0;0;0;6;4;4;6;5;5;4;5;3;5;3;5;6;2;3;4;5;3;3;3;6;4;4;3;2;2;2;2;4;3;4;1;5;4;2;1;4;1;4;1;1991;30;4.692307692;3.625;4.5;2.818181818;3;1.384615385;7;tertiary;4
99;4;6;4;3;4;2;3;2;3;1;5;5;4;5;3;2;1;2;1;1;1;6;4;4;5;5;1;2;1;1;2;2;2;1;2;1;3;4;4;2;3;7;4;4;3;2;2;2;3;5;3;5;;5;3;3;1;4;3;4;2;1958;63;2.769230769;3.25;3.642857143;3.3;3.285714286;2.461538462;7;tertiary;11
100;5;6;5;2;1;1;2;2;1;3;4;1;3;3;1;1;1;1;1;1;0;7;4;5;6;7;7;4;7;7;2;5;7;6;2;1;3;4;4;3;1;4;4;4;2;1;1;1;1;4;3;3;2;5;2;1;2;4;;4;2;1991;30;5.692307692;2.75;2.785714286;2.363636364;3;1.615384615;6;tertiary;6
101;4;5;4;5;4;1;3;1;4;4;5;2;3;4;2;1;0;1;0;2;0;7;6;6;4;6;4;3;3;6;6;5;5;4;1;2;1;2;3;1;1;3;2;1;1;1;1;1;1;4;1;2;3;4;1;1;1;1;;4;2;1995;26;5;1.75;3.5;1.636363636;2;1.615384615;4;secondary;6
